Function Name,Category,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_elf_x86_size_relative_relocs,Low-Level,✓,✗,✗,✗
bfd_elf_x86_valid_reloc_p,Low-Level,✓,✗,✗,✗
bfd_elfcore_make_pseudosection,Low-Level,✓,✗,✗,✗
bfd_emul_get_commonpagesize,Low-Level,✓,✗,✗,✗
bfd_emul_get_maxpagesize,Low-Level,✓,✗,✗,✗
bfd_extract_object_only_section,Low-Level,✓,✗,✗,✗
bfd_final_link_relocate,Low-Level,✓,✗,✗,✗
bfd_find_version_for_sym,Low-Level,✓,✗,✗,✗
bfd_fix_excluded_sec_syms,Low-Level,✓,✗,✗,✗
bfd_generic_archive_p,Low-Level,✓,✗,✗,✗
bfd_generic_define_common_symbol,Low-Level,✓,✗,✗,✗
bfd_generic_define_start_stop,Low-Level,✓,✗,✗,✗
bfd_generic_final_link,Low-Level,✓,✗,✗,✗
bfd_generic_get_elt_at_index,Low-Level,✓,✗,✗,✗
bfd_generic_get_relocated_section_contents,Low-Level,✓,✗,✗,✗
bfd_generic_get_section_contents,Low-Level,✓,✗,✗,✗
bfd_generic_link_add_archive_symbols,Low-Level,✓,✗,✗,✗
bfd_generic_link_add_one_symbol,Low-Level,✓,✗,✗,✗
bfd_generic_link_add_symbols,Low-Level,✓,✗,✗,✗
bfd_generic_link_hash_newfunc,Low-Level,✓,✗,✗,✗
bfd_generic_link_hash_table_create,Low-Level,✓,✗,✗,✗
bfd_generic_link_hash_table_free,Low-Level,✓,✗,✗,✗
bfd_generic_lookup_section_flags,Low-Level,✓,✗,✗,✗
bfd_generic_make_empty_symbol,Low-Level,✓,✗,✗,✗
bfd_generic_mkarchive,Low-Level,✓,✗,✗,✗
bfd_generic_new_section_hook,Low-Level,✓,✗,✗,✗
bfd_generic_relax_section,Low-Level,✓,✗,✗,✗
bfd_generic_reloc_link_order,Low-Level,✓,✗,✗,✗
bfd_generic_set_section_contents,Low-Level,✓,✗,✗,✗
bfd_generic_stat_arch_elt,Low-Level,✓,✗,✗,✗
bfd_generic_verify_endian_match,Low-Level,✓,✗,✗,✗
bfd_get_compression_algorithm,Low-Level,✓,✗,✗,✗
bfd_get_compression_header_size,Low-Level,✓,✗,✗,✗
bfd_get_elf_phdr_upper_bound,Low-Level,✓,✗,✗,✗
bfd_get_full_section_contents,Low-Level,✓,✗,✗,✗
bfd_get_linker_section,Low-Level,✓,✗,✗,✗
bfd_get_next_section_by_name,Low-Level,✓,✗,✗,✗
bfd_get_reloc_upper_bound,Low-Level,✓,✗,✗,✗
bfd_get_relocated_section_contents,Low-Level,✓,✗,✗,✗
bfd_get_section_by_name,Low-Level,✓,✗,✗,✗
bfd_get_section_by_name_if,Low-Level,✓,✗,✗,✗
bfd_get_section_contents,Low-Level,✓,✗,✗,✗
bfd_get_sign_extend_vma,Low-Level,✓,✗,✗,✗
bfd_get_unique_section_name,Low-Level,✓,✗,✗,✗
bfd_gnu_truncate_arname,Low-Level,✓,✗,✗,✗
bfd_hash_set_default_size,Low-Level,✓,✗,✗,✗
bfd_hide_sym_by_version,Low-Level,✓,✗,✗,✗
bfd_install_relocation,Low-Level,✓,✗,✗,✗
bfd_is_section_compressed,Low-Level,✓,✗,✗,✗
bfd_is_section_compressed_info,Low-Level,✓,✗,✗,✗
bfd_iterate_over_targets,Low-Level,✓,✗,✗,✗
bfd_link_align_section,Low-Level,✓,✗,✗,✗
bfd_link_hash_newfunc,Low-Level,✓,✗,✗,✗
bfd_link_hash_traverse,Low-Level,✓,✗,✗,✗
bfd_link_plugin_object_p,Low-Level,✓,✗,✗,✗
bfd_link_repair_undef_list,Low-Level,✓,✗,✗,✗
bfd_link_section_stabs,Low-Level,✓,✗,✗,✗
bfd_look_for_bfd_in_cache,Low-Level,✓,✗,✗,✗
bfd_make_section_anyway,Low-Level,✓,✗,✗,✗
bfd_make_section_anyway_with_flags,Low-Level,✓,✗,✗,✗
bfd_make_section_old_way,Low-Level,✓,✗,✗,✗
bfd_make_section_with_flags,Low-Level,✓,✗,✗,✗
bfd_malloc_and_get_section,Low-Level,✓,✓,✓,✓
bfd_map_over_sections,Low-Level,✓,✗,✗,✗
bfd_merge_sections_free,Low-Level,✓,✗,✗,✗
bfd_merged_section_offset,Low-Level,✓,✗,✗,✗
bfd_new_bfd_contained_in,Low-Level,✓,✗,✗,✗
bfd_pe_bfd_copy_private_bfd_data_common,Low-Level,✓,✗,✗,✗
bfd_pe_bfd_copy_private_section_data,Low-Level,✓,✗,✗,✗
bfd_pei_final_link_postscript,Low-Level,✓,✗,✗,✗
bfd_pei_slurp_codeview_record,Low-Level,✓,✗,✗,✗
bfd_pei_swap_aouthdr_in,Low-Level,✓,✗,✗,✗
bfd_pei_swap_aouthdr_out,Low-Level,✓,✗,✗,✗
bfd_pei_swap_lineno_in,Low-Level,✓,✗,✗,✗
bfd_pei_swap_lineno_out,Low-Level,✓,✗,✗,✗
bfd_pei_swap_scnhdr_out,Low-Level,✓,✗,✗,✗
bfd_perform_relocation,Low-Level,✓,✗,✗,✗
bfd_pex64_bfd_copy_private_bfd_data_common,Low-Level,✓,✗,✗,✗
bfd_pex64_bfd_copy_private_section_data,Low-Level,✓,✗,✗,✗
bfd_pex64i_final_link_postscript,Low-Level,✓,✗,✗,✗
bfd_pex64i_slurp_codeview_record,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_aouthdr_in,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_aouthdr_out,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_aux_in,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_aux_out,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_lineno_in,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_lineno_out,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_scnhdr_out,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_sym_in,Low-Level,✓,✗,✗,✗
bfd_pex64i_swap_sym_out,Low-Level,✓,✗,✗,✗
bfd_plugin_bfd_copy_private_bfd_data,Low-Level,✓,✗,✗,✗
bfd_plugin_bfd_copy_private_section_data,Low-Level,✓,✗,✗,✗
bfd_plugin_bfd_copy_private_symbol_data,Low-Level,✓,✗,✗,✗
bfd_plugin_canonicalize_symtab,Low-Level,✓,✗,✗,✗
bfd_plugin_get_symbols_in_object_only,Low-Level,✓,✗,✗,✗
bfd_plugin_get_symtab_upper_bound,Low-Level,✓,✗,✗,✗
bfd_plugin_make_empty_symbol,Low-Level,✓,✗,✗,✗
bfd_plugin_sizeof_headers,Low-Level,✓,✗,✗,✗
bfd_plugin_specified_p,Low-Level,✓,✗,✗,✗
bfd_reloc_offset_in_range,Low-Level,✓,✗,✗,✗
