Function Name,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_elf_get_bfd_needed_list,✓,✗,✗,✗
bfd_elf_get_dt_soname,✓,✗,✗,✗
bfd_elf_get_dynamic_reloc_section,✓,✗,✗,✗
bfd_elf_get_dynamic_reloc_upper_bound,✓,✗,✗,✗
bfd_elf_get_dynamic_symbols,✓,✗,✗,✗
bfd_elf_get_dynamic_symtab_upper_bound,✓,✗,✗,✗
bfd_elf_get_elf_syms,✓,✗,✗,✗
bfd_elf_get_lineno,✓,✗,✗,✗
bfd_elf_get_link_hash_entry,✓,✗,✗,✗
bfd_elf_get_property,✓,✗,✗,✗
bfd_elf_get_reloc_upper_bound,✓,✗,✗,✗
bfd_elf_get_sec_type_attr,✓,✗,✗,✗
bfd_elf_get_section_from_dynamic_symbol,✓,✗,✗,✗
bfd_elf_get_special_section,✓,✗,✗,✗
bfd_elf_get_str_section,✓,✗,✗,✗
bfd_elf_get_symbol_version_string,✓,✗,✗,✗
bfd_elf_get_symtab_upper_bound,✓,✗,✗,✗
bfd_elf_get_synthetic_symtab,✓,✗,✗,✗
bfd_elf_gnu_hash,✓,✗,✗,✗
bfd_elf_hash,✓,✗,✗,✗
bfd_elf_init_1_index_section,✓,✗,✗,✗
bfd_elf_init_2_index_sections,✓,✗,✗,✗
bfd_elf_init_file_header,✓,✗,✗,✗
bfd_elf_init_private_section_data,✓,✗,✗,✗
bfd_elf_init_reloc_shdr,✓,✗,✗,✗
bfd_elf_link_add_dt_relr_dependency,✓,✗,✗,✗
bfd_elf_link_add_glibc_version_dependency,✓,✗,✗,✗
bfd_elf_link_add_symbols,✓,✗,✗,✗
bfd_elf_link_assign_sym_version,✓,✗,✗,✗
bfd_elf_link_create_dynamic_sections,✓,✗,✗,✗
bfd_elf_link_create_dynstrtab,✓,✗,✗,✗
bfd_elf_link_create_gnu_property_sec,✓,✗,✗,✗
bfd_elf_link_find_version_dependencies,✓,✗,✗,✗
bfd_elf_link_hash_copy_indirect,✓,✗,✗,✗
bfd_elf_link_hash_hide_symbol,✓,✗,✗,✗
bfd_elf_link_hash_newfunc,✓,✗,✗,✗
bfd_elf_link_hash_table_create,✓,✗,✗,✗
