Caller,Callee,Call Type,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_compute_and_write_armap,bfd_realloc,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,bfd_release,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,imp.strcmp,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,imp.strcpy,High-High,✓,✗,✗,✗
bfd_compute_and_write_armap,imp.strlen,High-High,✓,✗,✗,✗
bfd_convert_section_setup,bfd_alloc,High-High,✓,✗,✗,✗
bfd_convert_section_setup,imp.memcpy,High-High,✓,✗,✗,✗
bfd_convert_section_setup,imp.strlen,High-High,✓,✗,✗,✗
bfd_convert_section_setup,imp.strncmp,High-High,✓,✗,✗,✗
bfd_core_file_failing_command,bfd_set_error,High-High,✓,✗,✗,✗
bfd_core_file_failing_signal,bfd_set_error,High-High,✓,✗,✗,✗
bfd_core_file_pid,bfd_set_error,High-High,✓,✗,✗,✗
bfd_create,bfd_delete_bfd,High-High,✓,✗,✗,✗
bfd_create,bfd_new_bfd,High-High,✓,✗,✗,✗
bfd_create,bfd_set_filename,High-High,✓,✗,✗,✗
bfd_create,bfd_set_format,High-High,✓,✗,✗,✗
bfd_create_gnu_debuglink_section,bfd_set_error,High-High,✓,✗,✗,✗
bfd_create_gnu_debuglink_section,bfd_set_section_size,High-High,✓,✗,✗,✗
bfd_create_gnu_debuglink_section,imp.strlen,High-High,✓,✗,✗,✗
bfd_create_gnu_debuglink_section,lbasename,High-High,✓,✗,✗,✗
bfd_decode_symclass,imp.memchr,High-High,✓,✗,✗,✗
bfd_decode_symclass,imp.strlen,High-High,✓,✗,✗,✗
bfd_decode_symclass,imp.strncmp,High-High,✓,✗,✗,✗
bfd_default_scan,imp.strcasecmp,High-High,✓,✗,✗,✗
bfd_default_scan,imp.strchr,High-High,✓,✗,✗,✗
bfd_default_scan,imp.strlen,High-High,✓,✗,✗,✗
bfd_default_scan,imp.strncasecmp,High-High,✓,✗,✗,✗
bfd_delete_bfd,bfd_hash_table_free,High-High,✓,✗,✓,✓
bfd_delete_bfd,free,High-High,✗,✗,✓,✓
bfd_delete_bfd,imp.munmap,High-High,✓,✗,✗,✗
bfd_delete_bfd,munmap,High-High,✗,✗,✓,✓
bfd_delete_bfd,objalloc_free,High-High,✓,✗,✓,✓
bfd_demangle,bfd_malloc,High-High,✓,✗,✗,✗
bfd_demangle,cplus_demangle,High-High,✓,✗,✗,✗
bfd_demangle,imp.memcpy,High-High,✓,✗,✗,✗
bfd_demangle,imp.strchr,High-High,✓,✗,✗,✗
bfd_demangle,imp.strlen,High-High,✓,✗,✗,✗
bfd_doprnt,bfd_abort,High-High,✓,✗,✗,✓
bfd_doprnt,bfd_doprnt_scan,High-High,✗,✗,✗,✓
bfd_doprnt,bfd_malloc,High-High,✗,✗,✗,✓
bfd_doprnt,err_sprintf,High-High,✗,✗,✗,✓
